df,comparisons_2,comparisons_3,comparisons_4,comparisons_5,comparisons_6,comparisons_7,comparisons_8,comparisons_9,comparisons_10
5,2.5706,3.0302,3.2932,3.4757,3.6129,3.7222,3.8112,3.8829,3.9394
6,2.4469,2.8628,3.0993,3.2633,3.3868,3.4854,3.5666,3.6325,3.6884
7,2.3646,2.7517,2.9709,3.1226,3.2371,3.3289,3.4038,3.4658,3.5174
8,2.306,2.6728,2.8797,3.0227,3.131,3.2172,3.2882,3.3472,3.397
9,2.2622,2.6139,2.8117,2.9481,3.0515,3.1339,3.2022,3.2588,3.307
10,2.2281,2.5683,2.759,2.8905,2.99,3.0695,3.1353,3.1902,3.2372
11,2.201,2.532,2.7171,2.8445,2.9411,3.0181,3.082,3.1357,3.1816
12,2.1788,2.5024,2.6829,2.8071,2.9012,2.9764,3.0386,3.0911,3.1361
13,2.1604,2.4777,2.6545,2.776,2.868,2.9417,3.0023,3.0539,3.0982
14,2.1448,2.457,2.6305,2.7497,2.8401,2.9123,2.9719,3.0226,3.0662
15,2.1314,2.4392,2.61,2.7273,2.8162,2.8872,2.9458,2.9958,3.0388
16,2.1199,2.4238,2.5923,2.7079,2.7955,2.8655,2.9232,2.9726,3.0151
17,2.1098,2.4104,2.5769,2.691,2.7774,2.8465,2.9035,2.9523,2.9944
18,2.1009,2.3986,2.5632,2.6761,2.7615,2.8299,2.8862,2.9344,2.9762
19,2.093,2.3881,2.5512,2.6629,2.7474,2.815,2.8708,2.9185,2.96
20,2.086,2.3787,2.5404,2.651,2.7348,2.8018,2.8571,2.9044,2.9455
21,2.0796,2.3703,2.5306,2.6404,2.7235,2.7899,2.8447,2.8917,2.9324
22,2.0739,2.3626,2.5219,2.6308,2.7133,2.7792,2.8336,2.88,2.9207
23,2.0687,2.3557,2.5139,2.6221,2.704,2.7693,2.8235,2.8695,2.9099
24,2.0639,2.3494,2.5067,2.6142,2.6955,2.7604,2.8142,2.86,2.9002
25,2.0595,2.3436,2.5,2.6069,2.6877,2.7523,2.8057,2.8513,2.8912
30,2.0423,2.3208,2.4737,2.5781,2.657,2.7201,2.7723,2.8168,2.8558
35,2.0301,2.3047,2.4552,2.5579,2.6354,2.6974,2.7487,2.7925,2.8308
40,2.0211,2.2927,2.4415,2.5429,2.6194,2.6806,2.7312,2.7744,2.8122
45,2.0141,2.2835,2.4309,2.5313,2.607,2.6676,2.7178,2.7605,2.7979
50,2.0086,2.2762,2.4225,2.5221,2.5972,2.6573,2.7071,2.7495,2.7865
60,2.0003,2.2653,2.4099,2.5084,2.5827,2.642,2.6911,2.733,2.7696
70,1.9944,2.2575,2.4011,2.4987,2.5723,2.6311,2.6798,2.7213,2.7576
80,1.9901,2.2518,2.3944,2.4915,2.5646,2.623,2.6714,2.7126,2.7486
90,1.9867,2.2473,2.3893,2.4859,2.5586,2.6167,2.6648,2.7059,2.7417
100,1.984,2.2437,2.3852,2.4814,2.5538,2.6117,2.6596,2.7005,2.7362
250,1.9695,2.2247,2.3634,2.4575,2.5283,2.5849,2.6318,2.6717,2.7066
500,1.9647,2.2184,2.3561,2.4497,2.5199,2.5761,2.6226,2.6622,2.6968
1000,1.9623,2.2153,2.3526,2.4457,2.5158,2.5717,2.618,2.6575,2.6919
Inf,1.96,2.2121,2.349,2.4419,2.5116,2.5674,2.6135,2.6528,2.6871
