df,comparisons_2,comparisons_3,comparisons_4,comparisons_5,comparisons_6,comparisons_7,comparisons_8,comparisons_9,comparisons_10
5,3.152,3.5182,3.7913,4.0115,4.1972,4.3585,4.5014,4.6301,4.7474
6,2.9589,3.2738,3.5055,3.6902,3.8447,3.9779,4.0953,4.2004,4.2958
7,2.8324,3.1154,3.3213,3.4843,3.6198,3.736,3.838,3.929,4.0112
8,2.7433,3.0046,3.1932,3.3416,3.4644,3.5693,3.6611,3.7427,3.8164
9,2.6772,2.9229,3.0991,3.2371,3.3508,3.4477,3.5323,3.6073,3.6748
10,2.6263,2.8602,3.027,3.1573,3.2643,3.3552,3.4344,3.5046,3.5676
11,2.5859,2.8105,2.9702,3.0944,3.1962,3.2825,3.3576,3.424,3.4836
12,2.5531,2.7703,2.9242,3.0436,3.1412,3.2239,3.2957,3.3592,3.416
13,2.5259,2.737,2.8862,3.0017,3.096,3.1757,3.2449,3.3059,3.3605
14,2.503,2.7091,2.8543,2.9665,3.0581,3.1354,3.2023,3.2613,3.3141
15,2.4834,2.6853,2.8272,2.9367,3.0259,3.1011,3.1662,3.2236,3.2748
16,2.4665,2.6647,2.8038,2.911,2.9981,3.0716,3.1352,3.1911,3.2411
17,2.4518,2.6468,2.7834,2.8886,2.9741,3.046,3.1082,3.1629,3.2118
18,2.4388,2.6311,2.7656,2.869,2.9529,3.0236,3.0846,3.1382,3.1861
19,2.4273,2.6172,2.7498,2.8516,2.9342,3.0038,3.0637,3.1164,3.1635
20,2.4171,2.6047,2.7357,2.8361,2.9176,2.9861,3.0451,3.097,3.1433
21,2.4079,2.5936,2.723,2.8223,2.9027,2.9703,3.0285,3.0797,3.1253
22,2.3995,2.5835,2.7116,2.8098,2.8893,2.956,3.0135,3.064,3.109
23,2.392,2.5744,2.7013,2.7985,2.8771,2.9431,2.9999,3.0498,3.0943
24,2.3851,2.5661,2.6919,2.7881,2.866,2.9314,2.9876,3.037,3.0809
25,2.3788,2.5585,2.6833,2.7787,2.8559,2.9206,2.9763,3.0252,3.0687
30,2.3539,2.5285,2.6493,2.7416,2.816,2.8784,2.932,2.9789,3.0207
35,2.3364,2.5074,2.6256,2.7156,2.7882,2.8489,2.901,2.9466,2.9872
40,2.3235,2.4919,2.608,2.6964,2.7676,2.8271,2.8781,2.9228,2.9625
45,2.3135,2.4799,2.5945,2.6816,2.7518,2.8104,2.8606,2.9046,2.9436
50,2.3056,2.4704,2.5838,2.6699,2.7392,2.7971,2.8467,2.8901,2.9286
60,2.2938,2.4562,2.5679,2.6526,2.7206,2.7774,2.8261,2.8686,2.9063
70,2.2854,2.4462,2.5566,2.6403,2.7075,2.7635,2.8115,2.8535,2.8906
80,2.2792,2.4388,2.5482,2.6311,2.6977,2.7532,2.8007,2.8422,2.879
90,2.2744,2.433,2.5417,2.6241,2.6902,2.7452,2.7923,2.8335,2.87
100,2.2705,2.4284,2.5366,2.6184,2.6841,2.7389,2.7857,2.8265,2.8628
250,2.25,2.4038,2.509,2.5884,2.652,2.705,2.7502,2.7896,2.8246
500,2.2432,2.3958,2.4999,2.5786,2.6415,2.6938,2.7386,2.7775,2.812
1000,2.2398,2.3917,2.4954,2.5737,2.6363,2.6883,2.7328,2.7715,2.8058
Inf,2.2365,2.3877,2.4909,2.5688,2.631,2.6828,2.727,2.7655,2.7996
